"","Hugo_Symbol","n_pts","n_tumor_samples"
"774","ARHGEF25",3,3
"775","ARHGEF26",1,1
"776","ARHGEF28",4,5
"777","ARHGEF35",1,1
"778","ARHGEF37",2,2
"779","ARHGEF38",1,1
"780","ARHGEF39",1,1
"781","ARHGEF4",1,1
"782","ARHGEF40",5,5
"783","ARHGEF5",2,2
"784","ARHGEF6",2,2
"785","ARHGEF7",3,3
"786","ARHGEF9",3,4
"787","ARID1A",4,4
"788","ARID1B",3,3
"789","ARID2",3,3
"790","ARID3B",1,1
"791","ARID4A",3,4
"792","ARID4B",2,2
"793","ARID5A",1,1
"794","ARID5B",1,1
"795","ARIH1",1,1
"796","ARIH2",1,1
"797","ARL13A",2,2
"798","ARL13B",1,1
"799","ARL14",2,2
"800","ARL4A",1,1
"801","ARL4D",1,2
"802","ARL5B",1,1
"803","ARL6",1,1
"804","ARL6IP5",1,1
"805","ARL8A",1,1
"806","ARL8B",2,2
"807","ARMC1",1,1
"808","ARMC10",2,3
"809","ARMC12",1,1
"810","ARMC2",2,3
"811","ARMC3",2,2
"812","ARMC4",3,4
"813","ARMC5",3,4
"814","ARMC6",1,1
"815","ARMC7",1,1
"816","ARMC8",2,2
"817","ARMC9",1,1
"818","ARMCX1",1,1
"819","ARMCX2",2,3
"820","ARMCX3",2,2
"821","ARMCX5",1,1
"822","ARMCX5-GPRASP2",3,3
"823","ARMH3",1,1
"824","ARMH4",2,2
"825","ARMT1",2,3
"826","ARNT",1,1
"827","ARNT2",1,1
"828","ARNTL",1,1
"829","ARNTL2",2,2
"830","ARPC2",2,2
"831","ARPC4",1,1
"832","ARPC5L",1,1
"833","ARPIN",1,1
"834","ARPP19P2",1,1
"835","ARPP21",1,1
"836","ARR3",1,1
"837","ARRB1",2,2
"838","ARRB2",1,1
"839","ARRDC1",1,1
"840","ARRDC3",1,1
"841","ARRDC4",1,1
"842","ARRDC5",1,1
"843","ARSA",1,1
"844","ARSB",1,1
"845","ARSD",5,7
"846","ARSF",6,7
"847","ARSG",1,1
"848","ARSH",2,2
"849","ARSI",2,2
"850","ARSJ",1,1
"851","ARSK",3,4
"852","ARSL",4,4
"853","ART1",1,1
"854","ART4",3,3
"855","ASAH2",2,2
"856","ASAH2B",1,1
"857","ASAP1",2,2
"858","ASAP2",2,2
"859","ASAP3",2,2
"860","ASB10",3,3
"861","ASB11",1,2
"862","ASB13",1,1
"863","ASB15",1,1
"864","ASB17",2,2
"865","ASB18",1,1
"866","ASB2",3,3
"867","ASB3",1,1
"868","ASB4",3,3
"869","ASB5",6,6
"870","ASB9",2,2
"871","ASCC1",1,1
"872","ASCC2",1,1
"873","ASCC3",5,6
"874","ASGR2",1,1
"875","ASH1L",3,3
"876","ASH2L",1,1
"877","ASIC2",4,6
"878","ASIC4",2,2
"879","ASIC5",5,6
"880","ASIP",1,1
"881","ASL",1,1
"882","ASMT",2,2
"883","ASNS",1,1
"884","ASNSD1",2,2
"885","ASPDH",1,1
"886","ASPH",2,2
"887","ASPHD1",2,2
"888","ASPHD2",1,1
"889","ASPM",3,3
"890","ASPN",1,1
"891","ASS1",1,1
"892","ASTL",4,4
"893","ASTN1",1,2
"894","ASTN2",1,1
"895","ASXL1",8,9
"896","ASXL2",1,1
"897","ASXL3",2,2
"898","ASZ1",3,4
"899","ATAD1",1,1
"900","ATAD2",2,2
"901","ATAD2B",2,2
"902","ATAD3B",1,1
"903","ATAD3C",1,1
"904","ATCAY",3,3
"905","ATE1",2,2
"906","ATF1",1,1
"907","ATF2",1,1
"908","ATF5",1,1
"909","ATF6",1,1
"910","ATF6B",3,4
"911","ATF7IP",3,4
"912","ATF7IP2",2,2
"913","ATG10",1,1
"914","ATG101",2,2
"915","ATG12",1,1
"916","ATG14",1,1
"917","ATG16L1",1,1
"918","ATG16L2",2,2
"919","ATG2A",1,1
"920","ATG2B",3,3
"921","ATG4B",1,1
"922","ATIC",1,1
"923","ATL1",2,3
"924","ATL2",1,1
"925","ATL3",1,1
"926","ATM",2,2
"927","ATMIN",2,2
"928","ATN1",4,5
"929","ATOH1",2,2
"930","ATOX1",1,1
"931","ATP10A",3,3
"932","ATP10B",3,4
"933","ATP10D",4,5
"934","ATP11A",3,3
"935","ATP11AUN",1,1
"936","ATP11B",2,2
"937","ATP11C",2,3
"938","ATP12A",3,3
"939","ATP13A1",3,3
"940","ATP13A2",3,4
"941","ATP13A3",1,1
"942","ATP13A4",2,2
"943","ATP13A5",2,2
"944","ATP1A1",1,1
"945","ATP1A2",1,1
"946","ATP1A3",1,1
"947","ATP1A4",2,2
"948","ATP1B1",1,1
"949","ATP1B3",1,1
"950","ATP1B4",2,2
"951","ATP23",1,1
"952","ATP2A1",3,3
"953","ATP2A2",1,1
"954","ATP2A3",2,2
"955","ATP2B1",2,2
"956","ATP2B2",2,2
"957","ATP2B3",6,7
"958","ATP2B4",3,3
"959","ATP2C1",2,3
"960","ATP2C2",1,1
"961","ATP4A",4,5
"962","ATP5F1A",1,1
"963","ATP5F1C",2,2
"964","ATP5IF1",2,2
"965","ATP5MC1",1,1
"966","ATP5MC2",1,1
"967","ATP5ME",1,2
"968","ATP5PB",2,2
"969","ATP5PD",1,1
"970","ATP6AP1",1,1
"971","ATP6AP1L",1,1
"972","ATP6AP2",1,1
"973","ATP6V0A1",3,3
"974","ATP6V0A2",3,4
"975","ATP6V0A4",7,8
"976","ATP6V0B",1,1
"977","ATP6V0D1",2,3
"978","ATP6V0D2",2,2
"979","ATP6V1A",2,2
"980","ATP6V1B2",1,1
"981","ATP6V1C1",1,1
"982","ATP6V1C2",2,2
"983","ATP6V1G1",1,1
"984","ATP6V1G2",1,1
"985","ATP6V1H",1,1
"986","ATP7A",5,5
"987","ATP7B",2,2
"988","ATP8A1",4,4
"989","ATP8A2",4,5
"990","ATP8B1",4,5
"991","ATP8B2",2,2
"992","ATP8B3",2,2
"993","ATP8B4",6,7
"994","ATP9A",3,4
"995","ATP9B",3,4
"996","ATPAF2",1,1
"997","ATR",4,4
"998","ATRAID",1,1
"999","ATRN",1,1
"1000","ATRNL1",6,9
"1001","ATRX",17,18
"1002","ATXN1",2,2
"1003","ATXN10",2,3
"1004","ATXN2",2,2
"1005","ATXN2L",1,1
"1006","ATXN3",1,1
"1007","ATXN3L",2,2
"1008","ATXN7",2,2
"1009","ATXN7L2",1,1
"1010","ATXN7L3",1,1
"1011","AUNIP",2,2
"1012","AUP1",1,1
"1013","AURKA",1,1
"1014","AURKAIP1",2,2
"1015","AURKB",2,2
"1016","AURKC",1,1
"1017","AUTS2",1,1
"1018","AVIL",2,2
"1019","AVL9",2,2
"1020","AVPR1A",1,1
"1021","AVPR1B",1,1
"1022","AWAT1",2,2
"1023","AWAT2",2,2
"1024","AXDND1",7,7
"1025","AXIN1",2,2
"1026","AXL",2,2
"1027","AZGP1",1,1
"1028","AZI2",1,1
"1029","AZU1",1,1
"1030","B2M",1,1
"1031","B3GALNT2",2,2
"1032","B3GALT1",1,1
"1033","B3GALT2",1,1
"1034","B3GALT5",1,1
"1035","B3GAT1",2,2
"1036","B3GAT2",1,1
"1037","B3GNT2",2,3
"1038","B3GNT3",2,2
"1039","B3GNT4",1,1
"1040","B3GNT5",1,1
